功能		地址（16进制）		数值		说明	
LCDCtrl_addr    1f14       0    	//显示控制寄存器1
SEGCtrl0_addr   1f15       0    	//显示控制寄存器2
SEGCtrl1_addr   1f16       0    	//显示控制寄存器3
SEGCtrl2_addr   1f17       0    	//显示控制寄存器4
SEGCtrl3_addr   1f18       0    	//显示控制寄存器5
SEGCtrl4_addr   1f19       0    	//显示控制寄存器6
LCDM00_addr 	1f00       0    	//显示缓冲寄存器
LCDM01_addr 	1f01       0    	//显示缓冲寄存器
LCDM02_addr 	1f02       0    	//显示缓冲寄存器
LCDM03_addr 	1f03       0    	//显示缓冲寄存器
LCDM04_addr 	1f04       0    	//显示缓冲寄存器
LCDM05_addr 	1f05       0    	//显示缓冲寄存器
LCDM06_addr 	1f06       0    	//显示缓冲寄存器
LCDM07_addr 	1f07       0    	//显示缓冲寄存器
LCDM08_addr 	1f08       0    	//显示缓冲寄存器
LCDM09_addr 	1f09       0    	//显示缓冲寄存器
LCDM10_addr 	1f0a       0    	//显示缓冲寄存器
LCDM11_addr 	1f0b       0    	//显示缓冲寄存器
LCDM12_addr 	1f0c       0    	//显示缓冲寄存器
LCDM13_addr 	1f0d       0    	//显示缓冲寄存器
LCDM14_addr 	1f0e       0    	//显示缓冲寄存器
LCDM15_addr 	1f0f       0    	//显示缓冲寄存器
LCDM16_addr 	1f10       0    	//显示缓冲寄存器
LCDM17_addr 	1f11       0    	//显示缓冲寄存器
LCDM18_addr 	1f12       0    	//显示缓冲寄存器
LCDM19_addr 	1f13       0    	//显示缓冲寄存器

TACTL_addr	  1400       0    	//TimerA控制寄存器
TACTLL_addr		1401       0    	//TimerA Control Register的低字节
TARL_addr	    1402       0    	//Timer_A计数器的低字节
TARH_addr	    1403       0    	//Timer A计数器的高字节
TACCTL0L_addr   1404       0    	//TimerA捕获/比较控制寄存器0低位
TACCTL0H_addr   1405       0    	//TimerA捕获/比较控制寄存器0高位
TACCTL1L_addr   1406       0    	//TimerA捕获/比较控制寄存器1低位
TACCTL1H_addr   1407       0    	//TimerA捕获/比较控制寄存器1高位
TACCTL2L_addr   1408       0    	//TimerA捕获/比较控制寄存器2低位
TACCTL2H_addr   1409       0    	//TimerA捕获/比较控制寄存器2高位
TACCR0L_addr	140a       0    	//TimerA捕获/比较寄存器0低位
TACCR0H_addr   	140b       0    	//TimerA捕获/比较寄存器0高位
TACCR1L_addr   	140c       0    	//TimerA捕获/比较寄存器1低位
TACCR1H_addr   	140d       0    	//TimerA捕获/比较寄存器1高位
TACCR2L_addr   	140e       0    	//TimerA捕获/比较寄存器2低位
TACCR2H_addr   	140f       0    	//TimerA捕获/比较寄存器2高位
TBCTL_addr	    1500       0    	//TimerB控制寄存器
TBCTLL_addr			1501       0    	//TimerB Control Register的低字节
TBRL_addr	    1502       0    	//TimerB计数器的低字节
TBRH_addr	    1503       0    	//TimerB计数器的高字节
TBCCTL0L_addr   1504       0    	//TimerB捕获/比较控制寄存器0低位
TBCCTL0H_addr   1505       0    	//TimerB捕获捕获/比较控制寄存器0高位
TBCCTL1L_addr   1506       0    	//TimerB捕获/比较控制寄存器1低位
TBCCTL1H_addr   1507       0    	//TimerB捕获/比较控制寄存器1高位
TBCCTL2L_addr   1508       0    	//TimerB捕获/比较控制寄存器2低位
TBCCTL2H_addr   1509       0    	//TimerB捕获/比较控制寄存器2高位
TBCCR0L_addr	150a       0    	//TimerB捕获/比较寄存器0低位
TBCCR0H_addr   	150b       0    	//TimerB捕获/比较寄存器0高位
TBCCR1L_addr   	150c       0    	//TimerB捕获/比较寄存器1低位
TBCCR1H_addr   	150d       0    	//TimerB捕获/比较寄存器1高位
TBCCR2L_addr   	150e       0    	//TimerB捕获/比较寄存器2低位
TBCCR2H_addr   	150f       0    	//TimerB捕获/比较寄存器2高位
TCON2_addr	    1600       0    	//UART2控制/状态寄存器
TMOD2_addr	    1601       0    	//
TH20_addr	    1602       0    	//
TH21_addr	    1603       0    	//
TL20_addr	    1604       0    	//
TL21_addr	    1605       0    	//
SCON2_addr	    1606       0    	//
SBUF2_addr	    1607       0    	//
IRCON_addr	    1b40       0    	//IR控制寄存器
IRONE_addr	    1b41       0    	//红外脉冲最少高电平数量寄存器
IRZERO_addr	    1b42       0    	// 红外脉冲最少低电平数量寄存器
IR1TH_addr	    1b43       0    	// 红外1最大脉冲数寄存器
IR0TH_addr	    1b44       0    	// 红外0最大脉冲数寄存器
IRSMP_addr	    1b45       0    	// 红外脉冲采样宽度寄存器
IRDUTY_addr	    1b46       0    	// 红外脉冲占空比
TCON3_addr	    1700       0    	//UART3控制/状态寄存器
TMOD3_addr	    1701       0    	//
TH30_addr	    1702       0    	//
TH31_addr	    1703       0    	//
TL30_addr	    1704       0    	//
TL31_addr	    1705       0    	//
SCON3_addr	    1706       0    	//
SBUF3_addr	    1707       0    	//
TCON4_addr	    1800       0    	//UART4控制/状态寄存器
TMOD4_addr	    1801       0    	//
TH40_addr	    1802       0    	//
TH41_addr	    1803       0    	//
TL40_addr	    1804       0    	//
TL41_addr	    1805       0    	//
SCON4_addr	    1806       0    	//
SBUF4_addr	    1807       0    	//
TCON5_addr	    1900       0    	//UART5控制/状态寄存器
TMOD5_addr	    1901       0    	//
TH50_addr	    1902       0    	//
TH51_addr	    1903       0    	//
TL50_addr	    1904       0    	//
